filename,group,study,ntips,dated
condamine_Columbidae.nwk,condamine_Columbidae,Condamine 2019,306,TRUE
condamine_Conopophagidae.nwk,condamine_Conopophagidae,Condamine 2019,11,TRUE
condamine_Coraciidae.nwk,condamine_Coraciidae,Condamine 2019,12,TRUE
condamine_Corvidae.nwk,condamine_Corvidae,Condamine 2019,120,TRUE
condamine_Cotingidae.nwk,condamine_Cotingidae,Condamine 2019,65,TRUE
condamine_Cracidae.nwk,condamine_Cracidae,Condamine 2019,50,TRUE
condamine_Cracticidae.nwk,condamine_Cracticidae,Condamine 2019,12,TRUE
condamine_Cuculidae.nwk,condamine_Cuculidae,Condamine 2019,138,TRUE
condamine_Dicaeidae.nwk,condamine_Dicaeidae,Condamine 2019,45,TRUE
condamine_Dicruridae.nwk,condamine_Dicruridae,Condamine 2019,24,TRUE
condamine_Diomedeidae.nwk,condamine_Diomedeidae,Condamine 2019,21,TRUE
condamine_Emberizidae.nwk,condamine_Emberizidae,Condamine 2019,163,TRUE
condamine_Estrildidae.nwk,condamine_Estrildidae,Condamine 2019,140,TRUE
condamine_Eurylaimidae.nwk,condamine_Eurylaimidae,Condamine 2019,20,TRUE
condamine_Falconidae.nwk,condamine_Falconidae,Condamine 2019,64,TRUE
condamine_Formicariidae.nwk,condamine_Formicariidae,Condamine 2019,12,TRUE
condamine_Fringillidae.nwk,condamine_Fringillidae,Condamine 2019,194,TRUE
condamine_Furnariidae.nwk,condamine_Furnariidae,Condamine 2019,302,TRUE
condamine_Galbulidae.nwk,condamine_Galbulidae,Condamine 2019,18,TRUE
condamine_Glareolidae.nwk,condamine_Glareolidae,Condamine 2019,17,TRUE
condamine_Grallariidae.nwk,condamine_Grallariidae,Condamine 2019,49,TRUE
condamine_Gruidae.nwk,condamine_Gruidae,Condamine 2019,15,TRUE
condamine_Haematopodidae.nwk,condamine_Haematopodidae,Condamine 2019,11,TRUE
condamine_Hirundinidae.nwk,condamine_Hirundinidae,Condamine 2019,83,TRUE
condamine_Hydrobatidae.nwk,condamine_Hydrobatidae,Condamine 2019,22,TRUE
condamine_Icteridae.nwk,condamine_Icteridae,Condamine 2019,102,TRUE
condamine_Indicatoridae.nwk,condamine_Indicatoridae,Condamine 2019,17,TRUE
condamine_Laniidae.nwk,condamine_Laniidae,Condamine 2019,29,TRUE
condamine_Laridae.nwk,condamine_Laridae,Condamine 2019,99,TRUE
condamine_Leiothrichidae.nwk,condamine_Leiothrichidae,Condamine 2019,127,TRUE
condamine_Locustellidae.nwk,condamine_Locustellidae,Condamine 2019,53,TRUE
condamine_Lybiidae.nwk,condamine_Lybiidae,Condamine 2019,41,TRUE
condamine_Macrosphenidae.nwk,condamine_Macrosphenidae,Condamine 2019,18,TRUE
condamine_Malaconotidae.nwk,condamine_Malaconotidae,Condamine 2019,46,TRUE
condamine_Maluridae.nwk,condamine_Maluridae,Condamine 2019,27,TRUE
condamine_Megalaimidae.nwk,condamine_Megalaimidae,Condamine 2019,28,TRUE
condamine_Megapodiidae.nwk,condamine_Megapodiidae,Condamine 2019,21,TRUE
condamine_Melanocharitidae.nwk,condamine_Melanocharitidae,Condamine 2019,10,TRUE
